code,name,goup,ig_type
am4,Ammonium quaternaire ; myorelaxant,Médicaments,IgE
c1,Pénicilline G,Médicaments,IgG
c1,Pénicilline G,Médicaments,IgE
c1,Pénicilline G,Médicaments,IgG4
c2,Penicilline V,Médicaments,IgE
c2,Pénicilline V,Médicaments,IgG4
c2,Pénicilline V,Médicaments,IgG
c201,"Céphalosporines-mélange (Céfaclor, Céfaxine, Céfotaxime, Céfuroxime)",Médicaments,IgE
c202,Suxamethonium,Médicaments,IgE
c206,ACTH,Médicaments,IgE
c207,Protamine,Médicaments,IgE
c208,Tétanus toxoïd,Médicaments,IgE
c209,Chymopapaine,Médicaments,IgE
c212,Erythromycine,Médicaments,IgE
c213,Gentamicine,Médicaments,IgE
c216,Doxycycline,Médicaments,IgE
c217,Acide acétylsalicylique,Médicaments,IgE
c222,Mélange de macrolides,Médicaments,IgE
c223,Sulfaméthoxazol,Médicaments,IgE
c231,Articaïne,Médicaments,IgE
c232,Lidocaïne ; Xylocaïne®,Médicaments,IgE
c242,Triméthoprime,Médicaments,IgE
c251,Allopurinol ; Zyloric®,Médicaments,IgE
c253,Tétracaïne,Médicaments,IgE
c281,Diclofénac®,Médicaments,IgE
c284,Procaïne,Médicaments,IgE
c285,Bupivacaïne ; Marcaïne®,Médicaments,IgE
c286,Ibuprofène,Médicaments,IgE
c300,Codeïne,Médicaments,IgE
c301,Rifampicine,Médicaments,IgE
c304,Piroxicam,Médicaments,IgE
c305,Acide clavulanique,Médicaments,IgE
c308,Céfuroxime ; Zinnat,Médicaments,IgE
c330,Chlorure de benzalconium,Médicaments,IgE
c338,Carbamazépine,Médicaments,IgE
c388,Kétoprofène,Médicaments,IgE
c398,Métronidazole,Médicaments,IgE
c409,Ofloxacine ; Oflocet®,Médicaments,IgE
c436,Spiramycine,Médicaments,IgE
c5,Ampicilline,Médicaments,IgE
c6,Amoxicilline,Médicaments,IgE
c6,Amoxicilline,Médicaments,IgG
c7,Céfaclor,Médicaments,IgE
c70,Insuline porcine,Médicaments,IgE
c702,Acide ascorbique,Médicaments,IgE
c703,Acide benzoïque,Médicaments,IgE
c704,Quinoleine (E104),Médicaments,IgE
c706,Colorant(jaune,Médicaments,IgE
c707,Cyclamate de sodium,Médicaments,IgE
c71,Insuline bovine,Médicaments,IgE
c711,Nitrite de sodium,Médicaments,IgE
c712,Sulfite de sodium,Médicaments,IgE
c713,Parabène,Médicaments,IgE
c715,Saccharose,Médicaments,IgE
c717,Tartrazine,Médicaments,IgE
c719,Vitamine B1,Médicaments,IgE
c720,Vitamine B6,Médicaments,IgE
c725,Amaranthe,Médicaments,IgE
c73,Insuline humaine,Médicaments,IgE
c74,Gélatine,Médicaments,IgE
c8,Chlorexidine,Médicaments,IgE
dip,Propofol (Diprivan®),Médicaments,IgE
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",IgG
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",IgG4
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",IgE
d2,DermatophagoÏdes farinae,"Acariens, poussières",IgE
d2,Dermatophagoïdes farinae,"Acariens, poussières",IgG4
d2,Dermatophagoïdes farinae,"Acariens, poussières",IgG
d201,Blomia tropicalis,"Acariens, poussières",IgE
d201,Blomia tropicalis,"Acariens, poussières",IgG4
d3,Dermatophagoides microceras,"Acariens, poussières",IgE
d3,Dermatophagoides microceras,"Acariens, poussières",IgG4
d500,Argas reflexus,"Acariens, poussières",IgE
d70,Acarus siro,"Acariens, poussières",IgE
d71,Lepidoglyphus destructor,"Acariens, poussières",IgE
d71,Lepidoglyphus destructor,"Acariens, poussières",IgG4
d71,Lepidoglyphus destructor,"Acariens, poussières",IgG
d72,Thyrophagus putreus,"Acariens, poussières",IgG
d72,Tyrophagus putreus,"Acariens, poussières",IgE
d72,Tyrophagus putreus,"Acariens, poussières",IgG4
d73,Glycyphagus domesticus,"Acariens, poussières",IgE
d73s,Glycyphagus domesticus,"Acariens, poussières",IgG4
d74,Euroglyphus maynei,"Acariens, poussières",IgE
d74,Euroglyphus maynei,"Acariens, poussières",IgG4
d74,Euroglyphyus maynei,"Acariens, poussières",IgG
ex1,"Phanères ; e1, e5, e3, e4",Animaux,IgE
ex2,"Animaux ; e1, e5, e6, e87, e88",Animaux,IgE
ex70,"Animaux ; e6, e82, e84, e87, e88",Animaux,IgE
ex71,"Mélange de plumes ; e70, e85, e86, e89",Animaux,IgE
ex72,"Mélange de plumes ; e78, e201, Parakeet, e213, e214",Animaux,IgE
ex73,"Mélange de plumes ; e70, e85, e86, e213",Animaux,IgE
e1,Chat ; epithelium,Animaux,IgG4
e1,Chat ; epithelium,Animaux,IgE
e1,Chat,Animaux,IgG
e101,rCan f1 Chien ; recombinant,Animaux,IgE
e102,rCan f2 Chien ; reconbinant,Animaux,IgE
e196,Perruche callopsitte ; plumes,Animaux,IgE
E197,Perruche callopsitte ; déjections ,Animaux,IgE
