code,name,goup,english_name,english_group
am4,Ammonium quaternaire ; myorelaxant,Médicaments,Quaternary ammonium; muscle relaxant,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c1,Pénicilline G,Médicaments,Penicillin G,Drugs
c2,Penicilline V,Médicaments,Penicillin V,Drugs
c2,Pénicilline V,Médicaments,Penicillin V,Drugs
c2,Pénicilline V,Médicaments,Penicillin V,Drugs
c201,"Céphalosporines-mélange (Céfaclor, Céfaxine, Céfotaxime, Céfuroxime)",Médicaments,"Cephalosporins-mixture (Cefaclor, Cefaxin, Cefotaxime, Cefuroxime)",Drugs
c202,Suxamethonium,Médicaments,Suxamethonium,Drugs
c206,ACTH,Médicaments,ACTH,Drugs
c207,Protamine,Médicaments,Protamine,Drugs
c208,Tétanus toxoïd,Médicaments,Toxoid tetanus,Drugs
c209,Chymopapaine,Médicaments,Chymopapain,Drugs
c212,Erythromycine,Médicaments,Erythromycin,Drugs
c213,Gentamicine,Médicaments,Gentamicin,Drugs
c216,Doxycycline,Médicaments,Doxycycline,Drugs
c217,Acide acétylsalicylique,Médicaments,Acetylsalicylic acid,Drugs
c222,Mélange de macrolides,Médicaments,Macrolide mixture,Drugs
c223,Sulfaméthoxazol,Médicaments,Sulfamethoxazol,Drugs
c231,Articaïne,Médicaments,Articaine,Drugs
c232,Lidocaïne ; Xylocaïne®,Médicaments,Lidocaine; Xylocaine®,Drugs
c242,Triméthoprime,Médicaments,Trimethoprim,Drugs
c251,Allopurinol ; Zyloric®,Médicaments,Allopurinol; Zyloric®,Drugs
c253,Tétracaïne,Médicaments,Tetracaine,Drugs
c281,Diclofénac®,Médicaments,Diclofenac®,Drugs
c284,Procaïne,Médicaments,Procaine,Drugs
c285,Bupivacaïne ; Marcaïne®,Médicaments,Bupivacaine; Marcaine®,Drugs
c286,Ibuprofène,Médicaments,Ibuprofen,Drugs
c300,Codeïne,Médicaments,Codeine,Drugs
c301,Rifampicine,Médicaments,Rifampicin,Drugs
c304,Piroxicam,Médicaments,Piroxicam,Drugs
c305,Acide clavulanique,Médicaments,Clavulanic acid,Drugs
c308,Céfuroxime ; Zinnat,Médicaments,Cefuroxime; Zinnat,Drugs
c330,Chlorure de benzalconium,Médicaments,Benzalkonium chloride,Drugs
c338,Carbamazépine,Médicaments,Carbamazepine,Drugs
c388,Kétoprofène,Médicaments,Ketoprofen,Drugs
c398,Métronidazole,Médicaments,Metronidazole,Drugs
c409,Ofloxacine ; Oflocet®,Médicaments,Ofloxacin; Oflocet®,Drugs
c436,Spiramycine,Médicaments,Spiramycin,Drugs
c5,Ampicilline,Médicaments,Ampicillin,Drugs
c6,Amoxicilline,Médicaments,Amoxicillin,Drugs
c6,Amoxicilline,Médicaments,Amoxicillin,Drugs
c7,Céfaclor,Médicaments,Cefaclor,Drugs
c70,Insuline porcine,Médicaments,Porcine insulin,Drugs
c702,Acide ascorbique,Médicaments,Ascorbic acid,Drugs
c703,Acide benzoïque,Médicaments,Benzoic acid,Drugs
c704,Quinoleine (E104),Médicaments,Quinoline (E104),Drugs
c706,Colorant(jaune,Médicaments,Coloring (yellow,Drugs
c707,Cyclamate de sodium,Médicaments,Sodium cyclamate,Drugs
c71,Insuline bovine,Médicaments,Bovine insulin,Drugs
c711,Nitrite de sodium,Médicaments,Sodium nitrite,Drugs
c712,Sulfite de sodium,Médicaments,Sodium Sulphite,Drugs
c713,Parabène,Médicaments,Paraben,Drugs
c715,Saccharose,Médicaments,Sucrose,Drugs
c717,Tartrazine,Médicaments,Tartrazine,Drugs
c719,Vitamine B1,Médicaments,Vitamin B1,Drugs
c720,Vitamine B6,Médicaments,Vitamin B6,Drugs
c725,Amaranthe,Médicaments,Amaranth,Drugs
c73,Insuline humaine,Médicaments,Human insulin,Drugs
c74,Gélatine,Médicaments,Gelatin,Drugs
c8,Chlorexidine,Médicaments,Chlorexidine,Drugs
dip,Propofol (Diprivan®),Médicaments,Propofol (Diprivan®),Drugs
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d1,DermatophagoÏdes pteronyssinus,"Acariens, poussières",Dermatophagoides pteronyssinus,"Mites, dust"
d2,DermatophagoÏdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d2,Dermatophagoïdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d2,Dermatophagoïdes farinae,"Acariens, poussières",Dermatophagoides farinae,"Mites, dust"
d201,Blomia tropicalis,"Acariens, poussières",Blomia tropicalis,"Mites, dust"
d201,Blomia tropicalis,"Acariens, poussières",Blomia tropicalis,"Mites, dust"
d3,Dermatophagoides microceras,"Acariens, poussières",Dermatophagoides microceras,"Mites, dust"
d3,Dermatophagoides microceras,"Acariens, poussières",Dermatophagoides microceras,"Mites, dust"
d500,Argas reflexus,"Acariens, poussières",Argas reflexus,"Mites, dust"
