code_region,nom_region
01,Guadeloupe
02,Martinique
03,Guyane
04,La Réunion
06,Mayotte
11,Île-de-France
24,Centre-Val de Loire
27,Bourgogne-Franche-Comté
28,Normandie
32,Hauts-de-France
44,Grand Est
52,Pays de la Loire
53,Bretagne
75,Nouvelle-Aquitaine
76,Occitanie
84,Auvergne-Rhône-Alpes
93,Provence-Alpes-Côte d'Azur
94,Corse
95,Saint-Pierre-et-Miquelon
96,Saint-Barthélémy
97,Saint-Martin
98,Polynésie française
99,Île de Clipperton
100,Wallis-et-Futuna
101,Nouvelle-Calédonie
102,Terres australes et antarctiques françaises
