code,mode,class,name
J-00000,,,"Sections 0-1 Spécialistes, techniciens et personnel assimilé"
J-00000,,0,00 Métiers et professions: termes généraux
J-00000,,01,métier
J-00000,,02,profession
J-00000,,02,travail
J-01000,,0,01 Spécialistes des sciences physiques et techniciens assimilés
J-01100,,00,011 Chimistes
J-01110,,01,"chimiste, en général"
J-01120,,01,chimiste (chimie organique)
J-01130,,01,chimiste (chimie minérale)
J-01140,,01,chimiste (chimie physique)
J-01150,,01,chimiste (chimie analytique)
J-01190,,01,autres chimistes
J-01200,,00,012 Physiciens
J-01210,,01,"physicien, en général"
J-01210,,02,"physicienne, en général"
J-01220,,01,physicien en mécanique
J-01220,,02,physicienne en mécanique
J-01230,,01,physicien de la chaleur
J-01230,,02,physicienne de la chaleur
J-01240,,01,physicien en optique
J-01240,,02,physicienne en optique
J-01250,,01,physicien en acoustique
J-01250,,02,physicienne en acoustique
J-01260,,01,physicien en électricité et magnétisme
J-01260,,02,physicienne en électricité et magnétisme
J-01270,,01,physicien en électronique
J-01270,,02,physicienne en électronique
J-01280,,01,physicien en nucléaire
J-01280,,02,physicienne en nucléaire
J-01290,,01,autres physiciens
J-01290,,02,autres physiciennes
J-01300,,00,013 Spécialistes des sciences physiques n.c.a.
J-01320,,01,géophysicien
J-01320,,02,géophysicienne
J-01330,,01,géologue
J-01340,,01,météorologue
J-01350,,01,astronome
J-01390,,01,autres spécialistes des sciences physiques
J-01400,,00,014 Techniciens des sciences physiques
J-01420,,01,technicien chimiste
J-01420,,02,technicienne chimiste
J-01430,,01,technicien physicien
J-01430,,02,technicienne physicienne
J-01490,,01,autres techniciens des sciences physiques
J-01490,,02,autres techniciennes des sciences physiques
J-02000,,0,"02-03 Architectes, ingénieurs et techniciens assimilés"
J-02100,,00,021 Architectes et urbanistes
J-02120,,01,architecte (construction civile)
J-02130,,01,urbaniste
J-02140,,01,architecte paysagiste
J-02200,,00,022 Ingénieurs civils
J-02210,,01,"ingénieur civil, en général"
J-02210,,02,"ingénieure civile, en général"
J-02220,,01,ingénieur civil (construction de bâtiments)
J-02220,,02,ingénieure civile (construction de bâtiments)
J-02230,,01,ingénieur civil (construction de chaussées)
J-02230,,02,ingénieure civile (construction de chaussées)
J-02235,,01,ingénieur civil (construction d'aérodromes)
J-02235,,02,ingénieure civile (construction d'aérodromes)
J-02240,,01,ingénieur civil (construction de voies ferrées)
J-02240,,02,ingénieure civile (construction de voies ferrées)
J-02245,,01,ingénieur civil (construction de ponts)
J-02245,,02,ingénieure civile (construction de ponts)
J-02250,,01,ingénieur civil (installations sanitaires)
J-02250,,02,ingénieure civile (installations sanitaires)
J-02255,,01,ingénieur civil hydraulicien
J-02255,,02,ingénieure civile hydraulicienne
J-02260,,01,ingénieur civil (mécanique des sols)
J-02260,,02,ingénieure civile (mécanique des sols)
J-02290,,01,autres ingénieurs civils
J-02290,,02,autres ingénieures civiles
J-02300,,00,023 Ingénieurs électriciens et électroniciens
J-02305,,01,"ingénieur électricien, en général"
J-02305,,02,"ingénieure électricienne, en général"
J-02310,,01,"ingénieur électronicien, en général"
J-02310,,02,"ingénieure électronicienne, en général"
J-02320,,01,ingénieur électricien (production de courant)
J-02320,,02,ingénieure électricienne (production de courant)
J-02330,,01,ingénieur électricien (transport et distribution de courant)
J-02330,,02,ingénieure électricienne (transport et distribution de courant)
J-02340,,01,ingénieur en télécommunications
J-02340,,02,ingénieure en télécommunications
J-02390,,01,autres ingénieurs électriciens et électroniciens
J-02390,,02,autres ingénieures électriciennes et électroniciennes
J-02400,,00,024 Ingénieurs mécaniciens
J-02410,,01,"ingénieur mécanicien, en général"
J-02410,,02,"ingénieure mécanicienne, en général"
J-02420,,01,ingénieur mécanicien (machines et outillages industriels)
J-02420,,02,ingénieure mécanicienne (machines et outillages industriels)
J-02430,,01,"ingénieur mécanicien (spécialiste des moteurs, sauf moteurs marins)"
J-02430,,02,"ingénieure mécanicienne (spécialiste des moteurs, sauf moteurs marins)"
J-02440,,01,ingénieur mécanicien (moteurs marins et équipements de bord)
J-02440,,02,ingénieure mécanicienne (moteurs marins et équipements de bord)
J-02450,,01,ingénieur en constructions navales
J-02450,,02,ingénieure en constructions navales
J-02460,,01,ingénieur en aéronautique
J-02460,,02,ingénieure en aéronautique
J-02470,,01,ingénieur en mécanique automobile
J-02470,,02,ingénieure en mécanique automobile
J-02480,,01,"ingénieur en chauffage, ventilation et réfrigération"
J-02480,,02,"ingénieure en chauffage, ventilation et réfrigération"
J-02485,,01,ingénieur spécialiste de l'énergie nucléaire
J-02485,,02,ingénieur spécialiste de l'énergie nucléaire
J-02490,,01,autres ingénieurs mécaniciens
J-02490,,02,autres ingénieures mécaniciennes
J-02500,,00,025 Ingénieurs chimistes
J-02510,,01,"ingénieur chimiste, en général"
J-02510,,02,"ingénieure chimiste, en général"
J-02520,,01,ingénieur chimiste (raffinage de pétrole)
J-02520,,02,ingénieure chimiste (raffinage de pétrole)
J-02590,,01,autres ingénieurs chimistes
J-02590,,02,autres ingénieures chimistes
J-02600,,00,026 Ingénieurs métallurgistes
J-02620,,01,ingénieur métallurgiste (métallurgie extractive)
J-02620,,02,ingénieure métallurgiste (métallurgie extractive)
J-02630,,01,ingénieur métallurgiste (traitement des métaux)
J-02630,,02,ingénieure métallurgiste (traitement des métaux)
J-02690,,01,autres ingénieurs métallurgistes
J-02690,,02,autres ingénieures métallurgistes
J-02700,,00,027 Ingénieurs des mines
J-02710,,01,"ingénieur des mines, en général"
J-02710,,02,"ingénieure des mines, en général"
J-02720,,01,ingénieur des mines de charbon
J-02720,,02,ingénieure des mines de charbon
J-02730,,01,ingénieur des mines métalliques
J-02730,,02,ingénieure des mines métalliques
J-02740,,01,ingénieur de l'extraction du pétrole et du gaz naturel
J-02740,,02,ingénieure de l'extraction du pétrole et du gaz naturel
J-02790,,01,autres ingénieurs des mines
J-02790,,02,autres ingénieures des mines
J-02800,,00,028 Ingénieurs industriels
J-02810,,01,"ingénieur du rendement industriel, en général"
J-02810,,02,"ingénieure du rendement industriel, en général"
J-02820,,01,ingénieur des méthodes
J-02820,,02,ingénieure des méthodes
J-02830,,01,ingénieur de l'étude des temps et des mouvements
J-02830,,02,ingénieure de l'étude des temps et des mouvements
J-02890,,01,autres ingénieurs industriels
J-02890,,02,autres ingénieures industrielles
J-02900,,00,029 Ingénieurs n.c.a.
J-02920,,01,ingénieur de céramique et verrerie
J-02920,,02,ingénieure de céramique et verrerie
J-02930,,01,ingénieur agricole
J-02930,,02,ingénieure agricole
J-02940,,01,ingénieur de la fabrication de denrées alimentaires et de boissons
J-02940,,02,ingénieure de la fabrication de denrées alimentaires et de boissons
J-02950,,01,ingénieur de la circulation routière
J-02950,,02,ingénieure de la circulation routière
J-02960,*,01,Ingénieur commercial
J-02960,*,02,ingénieure commerciale
J-02990,,01,autres ingénieurs
J-02990,,02,autres ingénieures
J-03100,,00,031 Géomètres
J-03110,,01,"géomètre, en général"
J-03120,,01,arpenteur-géomètre
J-03120,,02,arpenteuse-géomètre
J-03130,,01,géomètre des mines
J-03140,,01,ingénieur hydrographe
J-03140,,02,ingénieure hydrographe
J-03150,,01,photogrammètre
J-03190,,01,autres géomètres
J-03200,,00,032 Dessinateurs
J-03210,,01,"dessinateur, en général"
J-03210,,02,"dessinatrice, en général"
J-03220,,01,dessinateur en construction mécanique
J-03220,,02,dessinatrice en construction mécanique
J-03230,,01,dessinateur d'installations électriques
J-03230,,02,dessinatrice d'installations électriques
J-03240,,01,dessinateur en génie civil
J-03240,,02,dessinatrice en génie civil
J-03250,,01,dessinateur en architecture
J-03250,,02,dessinatrice en architecture
J-03260,,01,dessinateur cartographe
J-03260,,02,dessinatrice cartographe
J-03270,,01,illustrateur technique
J-03270,,02,illustratrice technique
